year,department,y_HH
2008,5,181.30692
2008,6,203.80026
2008,7,472.05606
2008,8,261.88925
2008,9,155.43889
2008,10,210.67604
2008,11,373.74338
2008,12,346.15155
2008,13,315.4743
2008,14,277.56448
2008,15,628.88422
2008,16,268.55283
2008,17,593.15002
2008,18,541.41425
2008,19,272.72171
2008,20,275.34799
2008,21,194.56659
2008,22,327.72928
2008,23,531.94159
2008,24,354.28589
2008,25,355.11035
2009,1,296.70981
2009,2,329.86737
2009,3,183.1788
2009,4,464.19751
2009,5,204.60481
2009,6,235.02196
2009,7,565.67682
2009,8,302.65622
2009,9,197.76375
2009,10,237.47618
2009,11,413.46887
2009,12,347.84653
2009,13,391.92654
2009,14,323.39026
2009,15,657.31445
2009,16,296.37186
2009,17,720.25244
2009,18,510.07596
2009,19,307.11429
2009,20,324.59802
2009,21,205.75954
2009,22,319.80362
2009,23,494.50342
2009,24,388.59659
2009,25,386.48978
2010,1,289.55283
2010,2,393.32358
2010,3,210.13429
2010,4,529.39825
2010,5,264.2612
2010,6,275.51144
2010,7,595.51227
2010,8,319.46451
2010,9,232.82159
2010,10,250.27014
2010,11,437.80396
2010,12,343.86224
2010,13,356.33563
2010,14,330.61255
2010,15,647.14972
2010,16,352.01703
2010,17,678.15527
2010,18,661.22772
2010,19,326.04422
2010,20,352.30499
2010,21,228.62057
2010,22,356.72937
2010,23,566.73541
2010,24,430.10382
2010,25,374.87674
2011,1,293.19653
2011,2,392.99725
2011,3,193.03912
2011,4,615.3902
2011,5,263.70111
2011,6,314.6593
2011,7,554.87415
2011,8,365.72266
2011,9,253.24426
2011,10,274.05798
2011,11,467.91089
2011,12,422.0307
2011,13,378.88916
2011,14,362.00024
2011,15,692.07977
2011,16,386.19455
2011,17,929.22498
2011,18,625.03076
2011,19,320.68808
2011,20,361.60254
2011,21,259.17432
2011,22,397.66559
2011,23,554.35162
2011,24,495.77182
2011,25,438.86938
2012,1,316.71948
2012,2,420.37915
2012,3,221.08066
2012,4,601.63788
2012,5,263.19858
2012,6,369.28082
2012,7,603.54181
2012,8,416.18015
2012,9,257.67596
2012,10,335.59323
2012,11,488.45242
2012,12,418.84995
2012,13,447.7175
2012,14,395.47922
2012,15,777.42133
2012,16,425.63147
2012,17,1011.4897
2012,18,699.30249
2012,19,317.98895
2012,20,403.2681
2012,21,298.31802
2012,22,454.46942
2012,23,631.17279
2012,24,527.82849
2012,25,468.49899
2013,1,316.93365
2013,2,443.58853
2013,3,248.35324
2013,4,630.01117
2013,5,277.99194
2013,6,340.93225
2013,7,641.87244
2013,8,432.93262
2013,9,279.57224
2013,10,364.9465
2013,11,530.91272
2013,12,420.34018
2013,13,465.27563
2013,14,393.32388
2013,15,809.07227
2013,16,392.74075
2013,17,904.3761
2013,18,723.40808
2013,19,326.7688
2013,20,391.7742
2013,21,350.66504
2013,22,447.75912
2013,23,644.71863
2013,24,533.55194
2013,25,459.18561
2014,1,325.16492
2014,2,454.99496
2014,3,295.06094
2014,4,667.23492
2014,5,298.61542
2014,6,314.81567
2014,7,681.41022
2014,8,439.70743
2014,9,213.8791
2014,10,342.74106
2014,11,556.42096
2014,12,445.05008
